age,workclass,fnlwgt,education,occupation,relationship,race,sex,target,predicted_salary
"56"," Self-emp-not-inc","186651"," 11th"," Other-service"," Unmarried"," White"," Female","0","0"
"24"," Self-emp-not-inc","188274"," Bachelors"," Sales"," Not-in-family"," White"," Male","0","0"
"23"," Local-gov","258120"," Some-college"," Protective-serv"," Husband"," White"," Male","0","0"
"26"," Private","43311"," HS-grad"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"65"," ?","191846"," HS-grad"," ?"," Husband"," White"," Male","0","1"
"36"," Local-gov","403681"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","1"
"22"," Private","248446"," 5th-6th"," Priv-house-serv"," Not-in-family"," White"," Male","0","0"
"17"," Private","269430"," 10th"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"20"," Private","257509"," HS-grad"," Craft-repair"," Own-child"," White"," Male","0","0"
"65"," Private","136384"," Masters"," Prof-specialty"," Husband"," White"," Male","1","1"
"44"," Self-emp-inc","120277"," Assoc-voc"," Sales"," Husband"," White"," Male","1","1"
"36"," Private","465326"," HS-grad"," Farming-fishing"," Husband"," White"," Male","0","0"
"29"," Private","103634"," 11th"," Other-service"," Husband"," White"," Male","0","0"
"20"," State-gov","138371"," Some-college"," Farming-fishing"," Own-child"," White"," Male","0","0"
"28"," Private","242832"," Assoc-voc"," Prof-specialty"," Wife"," White"," Female","1","1"
"39"," Private","290208"," 7th-8th"," Craft-repair"," Husband"," White"," Male","0","0"
"54"," Private","186272"," Some-college"," Transport-moving"," Husband"," White"," Male","0","0"
"52"," Private","201062"," 11th"," Priv-house-serv"," Not-in-family"," Black"," Female","0","0"
"56"," Self-emp-inc","131916"," HS-grad"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"18"," Private","54440"," Some-college"," Other-service"," Own-child"," White"," Male","0","0"
"39"," Private","280215"," HS-grad"," Handlers-cleaners"," Own-child"," Black"," Male","0","0"
"21"," Private","214399"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"22"," Private","54164"," HS-grad"," Other-service"," Not-in-family"," White"," Male","1","1"
"38"," Private","219446"," 9th"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"21"," Private","110677"," Some-college"," Adm-clerical"," Own-child"," White"," Female","0","0"
"63"," Private","145985"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"34"," Local-gov","382078"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"42"," Self-emp-inc","170721"," HS-grad"," Exec-managerial"," Husband"," White"," Male","1","1"
"33"," Private","269705"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"30"," Private","101135"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"39"," Private","118429"," Some-college"," Sales"," Not-in-family"," White"," Male","0","0"
"26"," Private","31208"," Masters"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"33"," Private","281384"," HS-grad"," Machine-op-inspct"," Own-child"," White"," Female","0","0"
"47"," Local-gov","171807"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"41"," Private","109912"," Bachelors"," Other-service"," Not-in-family"," White"," Female","0","0"
"41"," Self-emp-inc","445382"," Assoc-acdm"," Craft-repair"," Husband"," White"," Male","1","1"
"19"," Private","105460"," Some-college"," Other-service"," Own-child"," White"," Male","0","0"
"46"," Private","170338"," HS-grad"," Transport-moving"," Not-in-family"," White"," Male","0","0"
"43"," Private","102606"," HS-grad"," Sales"," Husband"," White"," Male","0","1"
"55"," Private","323887"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"46"," Private","175622"," Assoc-voc"," Tech-support"," Husband"," White"," Male","0","1"
"30"," Private","229636"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"21"," Private","388946"," Some-college"," Handlers-cleaners"," Not-in-family"," White"," Female","0","0"
"46"," Private","269034"," Some-college"," Craft-repair"," Husband"," Other"," Male","0","1"
"17"," ?","165361"," 10th"," ?"," Own-child"," White"," Male","0","0"
"41"," Private","75012"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"69"," Self-emp-inc","174379"," HS-grad"," Sales"," Husband"," White"," Male","0","0"
"50"," Private","312477"," HS-grad"," Transport-moving"," Husband"," White"," Male","0","1"
"20"," Private","72055"," Some-college"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"45"," Self-emp-inc","67001"," Some-college"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"23"," Private","213734"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"24"," Private","83141"," Some-college"," Other-service"," Not-in-family"," White"," Male","0","0"
"44"," Self-emp-inc","223881"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","1"
"31"," Self-emp-not-inc","113752"," Some-college"," Craft-repair"," Husband"," White"," Male","0","1"
"43"," Private","170482"," HS-grad"," Machine-op-inspct"," Not-in-family"," White"," Female","0","0"
"20"," Federal-gov","244689"," 11th"," Other-service"," Own-child"," White"," Female","0","0"
"55"," Private","160631"," HS-grad"," Sales"," Husband"," White"," Male","1","1"
"24"," Federal-gov","228724"," Some-college"," Armed-Forces"," Not-in-family"," White"," Male","0","0"
"41"," ?","38434"," Masters"," ?"," Wife"," White"," Female","1","1"
"59"," Private","292946"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"49"," Federal-gov","77443"," 7th-8th"," Other-service"," Not-in-family"," Black"," Male","0","0"
"33"," Private","176410"," Masters"," Prof-specialty"," Wife"," White"," Female","1","1"
"59"," Federal-gov","98984"," Bachelors"," Adm-clerical"," Not-in-family"," White"," Male","0","0"
"34"," Private","198751"," Masters"," Other-service"," Not-in-family"," Amer-Indian-Eskimo"," Male","0","0"
"20"," Private","479296"," HS-grad"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"25"," Private","235218"," Bachelors"," Exec-managerial"," Own-child"," White"," Female","0","0"
"49"," Private","164877"," 10th"," Farming-fishing"," Husband"," White"," Male","0","0"
"59"," Private","272087"," HS-grad"," Transport-moving"," Husband"," White"," Male","1","1"
"20"," Private","169699"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"51"," ?","189762"," Some-college"," ?"," Wife"," White"," Female","0","1"
"33"," Private","202191"," Some-college"," Adm-clerical"," Unmarried"," Black"," Female","0","0"
"22"," Private","212261"," Some-college"," Transport-moving"," Own-child"," Black"," Male","0","0"
"58"," Self-emp-not-inc","301568"," 9th"," Other-service"," Not-in-family"," White"," Female","0","0"
"52"," Local-gov","155233"," HS-grad"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"36"," Private","75826"," 10th"," Machine-op-inspct"," Not-in-family"," White"," Female","0","0"
"41"," Local-gov","201520"," HS-grad"," Protective-serv"," Husband"," White"," Male","0","1"
"28"," Private","154236"," HS-grad"," Transport-moving"," Own-child"," White"," Male","0","0"
"19"," Private","289227"," Some-college"," Handlers-cleaners"," Own-child"," Black"," Male","0","0"
"18"," Private","217439"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"18"," Private","179020"," HS-grad"," Machine-op-inspct"," Own-child"," White"," Female","0","0"
"28"," Private","149624"," Some-college"," Craft-repair"," Husband"," White"," Male","0","0"
"29"," Private","337266"," Assoc-voc"," Exec-managerial"," Husband"," White"," Male","1","1"
"20"," ?","30796"," HS-grad"," ?"," Own-child"," White"," Female","0","0"
"40"," Private","103541"," Some-college"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"26"," Private","206721"," HS-grad"," Handlers-cleaners"," Unmarried"," White"," Male","0","0"
"46"," Private","96773"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","1"
"23"," Private","200967"," 11th"," Other-service"," Not-in-family"," White"," Female","0","0"
"44"," Private","180019"," HS-grad"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"43"," Private","179866"," Bachelors"," Sales"," Unmarried"," White"," Female","1","0"
"31"," Local-gov","198770"," Bachelors"," Prof-specialty"," Unmarried"," White"," Female","0","0"
"18"," Private","219256"," Some-college"," Sales"," Own-child"," White"," Female","0","0"
"19"," Private","248730"," Some-college"," Protective-serv"," Own-child"," White"," Male","0","0"
"41"," Private","110732"," Some-college"," Tech-support"," Not-in-family"," White"," Female","0","0"
"41"," Private","181020"," HS-grad"," Handlers-cleaners"," Unmarried"," White"," Female","0","0"
"69"," Private","183791"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"48"," Federal-gov","42972"," Doctorate"," Prof-specialty"," Wife"," White"," Female","1","1"
"28"," Private","134813"," HS-grad"," Prof-specialty"," Own-child"," White"," Male","0","0"
"27"," Self-emp-not-inc","115438"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","0"
"41"," Private","239296"," Masters"," Prof-specialty"," Husband"," White"," Male","1","1"
"41"," Private","428420"," Some-college"," Adm-clerical"," Husband"," White"," Male","0","1"
"24"," Private","247846"," HS-grad"," Craft-repair"," Unmarried"," Black"," Female","0","0"
"20"," ?","334105"," HS-grad"," ?"," Not-in-family"," White"," Female","0","0"
"42"," Self-emp-inc","100793"," Doctorate"," Prof-specialty"," Husband"," White"," Male","1","1"
"57"," Private","244478"," HS-grad"," Craft-repair"," Husband"," Black"," Male","0","1"
"30"," Private","142921"," Assoc-acdm"," Prof-specialty"," Not-in-family"," White"," Female","0","0"
"36"," Private","182863"," HS-grad"," Sales"," Husband"," White"," Male","1","1"
"49"," Private","171128"," 7th-8th"," Machine-op-inspct"," Husband"," Black"," Male","0","0"
"33"," Private","145402"," HS-grad"," Machine-op-inspct"," Wife"," White"," Female","0","0"
"23"," Private","306309"," 10th"," Farming-fishing"," Husband"," White"," Male","0","0"
"46"," Private","83822"," Masters"," Prof-specialty"," Husband"," White"," Male","0","1"
"18"," Private","262118"," Some-college"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female","0","0"
"40"," Private","155972"," HS-grad"," Exec-managerial"," Husband"," White"," Male","1","1"
"43"," Self-emp-inc","214503"," HS-grad"," Exec-managerial"," Husband"," White"," Male","1","1"
"34"," Private","159303"," Masters"," Prof-specialty"," Own-child"," White"," Female","0","0"
"47"," Self-emp-not-inc","174995"," HS-grad"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"44"," Private","26669"," Assoc-voc"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"33"," Private","177727"," HS-grad"," Sales"," Husband"," White"," Male","1","0"
"55"," Private","124771"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"19"," Private","456736"," HS-grad"," Sales"," Not-in-family"," White"," Male","0","0"
"28"," Private","216604"," Some-college"," Other-service"," Not-in-family"," Black"," Male","0","0"
"27"," Private","221561"," 11th"," Other-service"," Wife"," Black"," Female","0","0"
"50"," Private","114564"," 7th-8th"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"22"," Private","315476"," 11th"," Craft-repair"," Unmarried"," White"," Male","0","0"
"40"," State-gov","67874"," Bachelors"," Adm-clerical"," Husband"," White"," Male","1","1"
"25"," Private","126110"," Some-college"," Adm-clerical"," Own-child"," White"," Female","0","0"
"26"," Local-gov","102264"," HS-grad"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"22"," Private","537222"," Bachelors"," Sales"," Not-in-family"," White"," Male","0","0"
"42"," Private","113732"," Some-college"," Handlers-cleaners"," Unmarried"," Black"," Female","0","0"
"38"," Self-emp-inc","93225"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"55"," Private","43064"," 11th"," Other-service"," Husband"," White"," Male","0","0"
"32"," Private","136921"," HS-grad"," Sales"," Husband"," White"," Male","0","1"
"22"," Private","388885"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"29"," Private","142249"," Bachelors"," Sales"," Own-child"," White"," Male","0","0"
"46"," State-gov","56841"," Masters"," Exec-managerial"," Husband"," White"," Male","1","1"
"31"," Private","156493"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"58"," Self-emp-not-inc","159021"," Doctorate"," Prof-specialty"," Husband"," White"," Male","1","1"
"42"," Private","190910"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","1"
"18"," Private","41879"," HS-grad"," Handlers-cleaners"," Unmarried"," White"," Male","0","0"
"58"," Local-gov","137249"," HS-grad"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"54"," Private","236157"," HS-grad"," Prof-specialty"," Husband"," White"," Male","1","1"
"34"," Private","189759"," Masters"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"26"," Private","239877"," Bachelors"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"61"," Private","21175"," 12th"," Exec-managerial"," Husband"," White"," Male","0","1"
"48"," Local-gov","67229"," Masters"," Adm-clerical"," Unmarried"," Black"," Female","0","0"
"36"," Private","236391"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"24"," Private","325596"," Assoc-voc"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"40"," Private","83411"," Some-college"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"33"," Self-emp-inc","154227"," HS-grad"," Sales"," Husband"," White"," Male","1","1"
"37"," Private","248010"," Some-college"," Machine-op-inspct"," Husband"," White"," Male","1","1"
"34"," Private","198613"," Masters"," Exec-managerial"," Own-child"," White"," Male","0","0"
"56"," Self-emp-inc","321529"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"28"," ?","168524"," HS-grad"," ?"," Own-child"," White"," Female","1","0"
"37"," Private","203079"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","1"
"44"," Private","284652"," HS-grad"," Sales"," Unmarried"," Black"," Female","0","0"
"64"," ?","201368"," Some-college"," ?"," Husband"," White"," Male","0","0"
"54"," Private","59840"," HS-grad"," Handlers-cleaners"," Not-in-family"," White"," Male","0","0"
"23"," Private","52753"," HS-grad"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"34"," State-gov","513100"," Bachelors"," Farming-fishing"," Not-in-family"," Black"," Male","0","0"
"22"," Private","199266"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"33"," Private","196385"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"39"," Private","163205"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","1","1"
"47"," Private","411047"," Some-college"," Adm-clerical"," Not-in-family"," Black"," Female","0","0"
"79"," ?","48574"," 7th-8th"," ?"," Not-in-family"," White"," Male","0","0"
"26"," Private","209440"," HS-grad"," Prof-specialty"," Unmarried"," Black"," Female","0","0"
"31"," Private","56964"," Some-college"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"44"," Private","299197"," Some-college"," Transport-moving"," Not-in-family"," White"," Male","0","0"
"42"," Self-emp-inc","240628"," Prof-school"," Prof-specialty"," Wife"," White"," Female","1","1"
"19"," Private","355313"," HS-grad"," Machine-op-inspct"," Not-in-family"," White"," Female","0","0"
"27"," Private","132267"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","1","0"
"51"," Local-gov","174861"," Some-college"," Protective-serv"," Husband"," White"," Male","1","1"
"28"," Self-emp-inc","142443"," Bachelors"," Exec-managerial"," Husband"," White"," Male","0","1"
"57"," Private","26716"," Bachelors"," Craft-repair"," Not-in-family"," White"," Male","0","1"
"45"," Local-gov","185588"," Bachelors"," Prof-specialty"," Unmarried"," White"," Female","0","0"
"50"," Private","175029"," Assoc-voc"," Prof-specialty"," Husband"," White"," Male","1","1"
"34"," Self-emp-inc","34848"," Bachelors"," Sales"," Husband"," White"," Male","0","1"
"45"," Private","411273"," 7th-8th"," Craft-repair"," Husband"," Black"," Male","0","0"
"73"," Local-gov","143437"," HS-grad"," Exec-managerial"," Husband"," White"," Male","0","0"
"34"," Private","357145"," Bachelors"," Prof-specialty"," Wife"," White"," Female","1","1"
"31"," Private","236861"," Some-college"," Sales"," Husband"," White"," Male","1","1"
"19"," Private","53355"," 11th"," Sales"," Not-in-family"," White"," Male","0","0"
"25"," Private","29106"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"38"," Federal-gov","213274"," Assoc-voc"," Craft-repair"," Unmarried"," White"," Female","0","0"
"39"," Private","22463"," Bachelors"," Transport-moving"," Husband"," White"," Male","0","1"
"23"," Private","180497"," Bachelors"," Tech-support"," Own-child"," Black"," Female","0","0"
"49"," Private","37306"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"33"," Federal-gov","137814"," HS-grad"," Other-service"," Not-in-family"," White"," Male","0","0"
"21"," Private","447488"," 5th-6th"," Machine-op-inspct"," Other-relative"," White"," Male","0","0"
"31"," Private","220915"," Assoc-voc"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"23"," Private","42251"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"34"," Private","162312"," Bachelors"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male","0","1"
"25"," Private","77698"," HS-grad"," Machine-op-inspct"," Not-in-family"," Asian-Pac-Islander"," Female","0","0"
"39"," Private","282951"," HS-grad"," Craft-repair"," Unmarried"," White"," Male","0","0"
"52"," Self-emp-inc","311259"," HS-grad"," Sales"," Husband"," White"," Male","1","1"
"63"," Local-gov","65479"," 9th"," Transport-moving"," Husband"," White"," Male","1","1"
"41"," Private","277256"," Some-college"," Craft-repair"," Husband"," White"," Male","0","1"
"46"," Private","312088"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","1"
"53"," Local-gov","169719"," HS-grad"," Exec-managerial"," Husband"," White"," Male","0","1"
"25"," ?","270276"," 9th"," ?"," Not-in-family"," White"," Female","0","0"
"77"," ?","172744"," Some-college"," ?"," Husband"," White"," Male","0","1"
"18"," Private","96869"," 12th"," Priv-house-serv"," Own-child"," White"," Male","0","0"
"38"," Private","237943"," Prof-school"," Prof-specialty"," Husband"," White"," Male","0","1"
"55"," Private","119751"," Masters"," Exec-managerial"," Unmarried"," Asian-Pac-Islander"," Female","0","1"
"34"," Private","236861"," HS-grad"," Tech-support"," Husband"," White"," Male","1","1"
"80"," Self-emp-not-inc","201092"," HS-grad"," Other-service"," Husband"," White"," Male","0","0"
"34"," Private","147215"," Assoc-voc"," Tech-support"," Unmarried"," White"," Female","0","0"
"52"," Private","152373"," Some-college"," Tech-support"," Husband"," White"," Male","0","0"
"42"," Private","227968"," HS-grad"," Other-service"," Unmarried"," Black"," Female","0","0"
"26"," Private","362617"," Some-college"," Sales"," Not-in-family"," White"," Female","0","0"
"31"," Private","103435"," HS-grad"," Transport-moving"," Husband"," White"," Male","0","0"
"25"," Local-gov","281412"," HS-grad"," Other-service"," Own-child"," White"," Female","0","0"
"55"," Self-emp-not-inc","105239"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"19"," Private","230165"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"62"," Self-emp-not-inc","177493"," Some-college"," Transport-moving"," Husband"," White"," Male","0","0"
"22"," Federal-gov","104443"," Some-college"," Adm-clerical"," Own-child"," White"," Female","0","0"
"39"," ?","110342"," HS-grad"," ?"," Wife"," White"," Female","0","1"
"35"," Private","143385"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"28"," Private","107189"," HS-grad"," Sales"," Own-child"," White"," Female","0","0"
"47"," Private","212944"," HS-grad"," Transport-moving"," Husband"," White"," Male","1","1"
"44"," State-gov","138634"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"21"," Private","99970"," Some-college"," Sales"," Own-child"," White"," Male","0","0"
"35"," Private","203717"," Assoc-voc"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"24"," Private","313956"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","0"
"42"," Federal-gov","177937"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","0","1"
"28"," Private","193868"," Bachelors"," Tech-support"," Own-child"," White"," Male","0","0"
"21"," Private","250939"," Some-college"," Machine-op-inspct"," Other-relative"," White"," Male","0","0"
"62"," Federal-gov","57629"," Some-college"," Tech-support"," Not-in-family"," Black"," Male","0","0"
"39"," Private","281768"," HS-grad"," Other-service"," Not-in-family"," Black"," Female","0","0"
"30"," State-gov","260782"," HS-grad"," Other-service"," Not-in-family"," White"," Male","0","0"
"72"," Self-emp-not-inc","243769"," Prof-school"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"50"," Private","109937"," Some-college"," Exec-managerial"," Wife"," White"," Female","0","1"
"28"," Local-gov","134890"," Masters"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"29"," Private","100293"," Some-college"," Prof-specialty"," Not-in-family"," White"," Female","0","0"
"26"," Private","132179"," Bachelors"," Adm-clerical"," Own-child"," White"," Female","0","0"
"27"," Private","116372"," Masters"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"29"," Private","255412"," Some-college"," Handlers-cleaners"," Husband"," White"," Male","1","1"
"61"," ?","195789"," HS-grad"," ?"," Husband"," White"," Male","0","1"
"29"," Private","342400"," 10th"," Craft-repair"," Husband"," White"," Male","0","0"
"21"," ?","65481"," Some-college"," ?"," Own-child"," White"," Female","0","0"
"31"," Private","169085"," 11th"," Sales"," Wife"," White"," Female","0","0"
"25"," Private","177221"," HS-grad"," Exec-managerial"," Husband"," White"," Male","0","0"
"58"," Private","65325"," 10th"," Transport-moving"," Husband"," White"," Male","1","1"
"64"," Private","118944"," Some-college"," Exec-managerial"," Wife"," White"," Female","1","0"
"46"," State-gov","149337"," Masters"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"53"," ?","237868"," HS-grad"," ?"," Husband"," White"," Male","1","0"
"19"," Private","106183"," HS-grad"," Other-service"," Own-child"," Amer-Indian-Eskimo"," Female","0","0"
"42"," Private","226388"," HS-grad"," Other-service"," Not-in-family"," Black"," Male","0","0"
"18"," Private","220754"," 11th"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"58"," Self-emp-inc","204021"," Bachelors"," Craft-repair"," Husband"," White"," Male","1","1"
"20"," Private","347391"," Some-college"," Protective-serv"," Not-in-family"," Black"," Male","0","0"
"35"," Federal-gov","413930"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","0"
"32"," Private","174201"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","1","0"
"23"," Private","145917"," HS-grad"," Handlers-cleaners"," Not-in-family"," White"," Female","0","0"
"31"," Private","241797"," Some-college"," Tech-support"," Unmarried"," White"," Female","0","0"
"33"," Private","265168"," Bachelors"," Sales"," Husband"," Black"," Male","0","1"
"41"," Private","171234"," Some-college"," Machine-op-inspct"," Not-in-family"," White"," Female","0","0"
"22"," Private","178452"," HS-grad"," Machine-op-inspct"," Own-child"," Black"," Male","0","0"
"46"," Private","157857"," Some-college"," Protective-serv"," Husband"," White"," Male","1","1"
"61"," Federal-gov","512864"," Some-college"," Transport-moving"," Husband"," Black"," Male","0","1"
"30"," Private","296462"," HS-grad"," Exec-managerial"," Not-in-family"," Black"," Male","0","0"
"42"," Private","171615"," HS-grad"," Exec-managerial"," Husband"," White"," Male","1","1"
"63"," Private","214071"," 10th"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"26"," Private","172421"," Some-college"," Sales"," Husband"," White"," Male","0","0"
"42"," Private","195488"," 10th"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"23"," Private","316841"," Some-college"," Other-service"," Husband"," White"," Male","0","0"
"25"," Private","236267"," HS-grad"," Machine-op-inspct"," Unmarried"," White"," Male","0","0"
"30"," Private","236543"," 9th"," Other-service"," Husband"," White"," Male","1","0"
"23"," Private","318483"," HS-grad"," Sales"," Own-child"," White"," Male","0","0"
"34"," Self-emp-not-inc","163756"," Assoc-voc"," Farming-fishing"," Not-in-family"," White"," Male","1","1"
"30"," Private","238186"," HS-grad"," Machine-op-inspct"," Other-relative"," White"," Male","0","0"
"39"," Private","329980"," Some-college"," Craft-repair"," Husband"," White"," Male","1","0"
"30"," Private","169269"," 11th"," Handlers-cleaners"," Other-relative"," White"," Male","0","0"
"38"," Local-gov","34744"," Some-college"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"26"," Private","98114"," HS-grad"," Exec-managerial"," Own-child"," White"," Female","0","0"
"20"," Private","109667"," Some-college"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"37"," Local-gov","263690"," Bachelors"," Prof-specialty"," Unmarried"," Black"," Male","0","0"
"33"," Private","147430"," HS-grad"," Adm-clerical"," Own-child"," White"," Female","0","0"
"24"," Private","224238"," Bachelors"," Adm-clerical"," Own-child"," White"," Male","0","0"
"42"," Self-emp-inc","212894"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"51"," Self-emp-not-inc","136708"," HS-grad"," Sales"," Husband"," Asian-Pac-Islander"," Male","0","1"
"56"," Local-gov","38573"," Assoc-acdm"," Tech-support"," Husband"," White"," Male","1","1"
"22"," Private","197200"," Some-college"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"52"," Self-emp-not-inc","182796"," Some-college"," Farming-fishing"," Husband"," White"," Male","0","0"
