sentiment,text
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
neutral,@VirginAmerica when can I book my flight to Hawaii??
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
positive,@VirginAmerica wow this just blew my mind
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative,@VirginAmerica everything was fine until you lost my bag
neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
neutral,@VirginAmerica what happened to Doom?!
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
negative,@VirginAmerica Why is the site down?  When will it be back up?
neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
neutral,@VirginAmerica why is flight 345 redirected?
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
